date,price,logprice,return,volatility,volatility60
2012-10-10,12.12,2.4948569806411682,0.018738836886247334,0.01730114949866335,0.065434570776358
2012-10-11,12.03,2.4874035299865875,-0.0074534506545806956,0.017431624605749155,0.06546658847917948
2012-10-12,12,2.4849066497880004,-0.0024968801985871814,0.017524921240861305,0.06531673530341756
2012-10-13,11.861,2.4732557070471386,-0.011650942740861758,0.017543011613849854,0.06529608611082252
2012-10-14,11.7389,2.4629081132469315,-0.010347593800207111,0.017199295240292335,0.06436254374779507
2012-10-15,11.8381,2.4713231436057215,0.008415030358789988,0.01727125775517121,0.06431355272673185
2012-10-16,11.8499,2.472319428726968,0.0009962851212463875,0.01723746562519887,0.061146527279240276
2012-10-17,11.81,2.468946630209271,-0.0033727985176970066,0.017235408706330245,0.06114606562921269
2012-10-18,11.9398,2.479877357405406,0.01093072719613497,0.016249799445042623,0.036103124903003624
2012-10-19,11.7401,2.4630103322512373,-0.01686702515416849,0.015574684993808265,0.020121520504751137
2012-10-20,11.7399,2.462993296476109,-1.7035775128348973e-05,0.015298792914765018,0.02009301298843496
2012-10-21,11.6311,2.45368254503295,-0.00931075144315896,0.015215166046134926,0.020013404095174603
2012-10-22,11.7101,2.4604517172828126,0.0067691722498626206,0.015190744023559057,0.01976627218067836
2012-10-23,11.65,2.4553061800117097,-0.005145537271102896,0.01526734171705922,0.018819283841817087
2012-10-24,11.65,2.4553061800117097,0,0.015237282344225257,0.01880440739100113
2012-10-25,10.8616,2.385233633303934,-0.07007254670777563,0.01513519118280584,0.01878631861969956
2012-10-26,10.1706,2.3195012053703588,-0.06573242793357537,0.019683772047348454,0.020566132233139342
2012-10-27,10.2605,2.328301571498682,0.008800366128323134,0.0226907335159086,0.022269087716244515
2012-10-28,10.7,2.3702437414678603,0.04194216996917843,0.022739019011109828,0.022306969298623542
2012-10-29,10.6,2.3608540011180215,-0.00938974034983886,0.024450780905387885,0.022938428127825993
2012-10-30,10.8875,2.3876153421786213,0.026761341060599797,0.024414792329803245,0.021616060175794517
2012-10-31,11.201,2.4160030600296025,0.028387717850981264,0.025122018115211277,0.02171151755317483
2012-11-01,10.57,2.3580197998821464,-0.05798326014745614,0.024785997323383782,0.021803060967147778
2012-11-02,10.4688,2.3483994051333372,-0.009620394748809158,0.026614940514812845,0.022777919350742658
2012-11-03,10.6425,2.3648554187201705,0.01645601358683324,0.02660977911889911,0.02273952129807241
2012-11-04,10.8001,2.3795553933465667,0.014699974626396273,0.026938230649552072,0.021549541447112144
2012-11-05,10.748,2.3747196907532446,-0.004835702593322111,0.027156060166678132,0.021528306805879593
2012-11-06,10.899,2.3886710419071746,0.01395135115392998,0.025174246156054573,0.02143531683954883
2012-11-07,10.92,2.3905959703167587,0.0019249284095841368,0.025375167698199835,0.02151150743059015
2012-11-08,10.925,2.391053740981654,0.000457770664895385,0.025277476524668708,0.021512550976345746
2012-11-09,10.815,2.380934059405022,-0.010119681576632011,0.02494303598431431,0.021436476909071186
2012-11-10,10.89,2.387844936944869,0.006910877539846982,0.024962731508065068,0.021383996952242565
2012-11-11,10.8687,2.3858870987648486,-0.001957838180020488,0.025039551172830812,0.021401985651953767
